"nombre simplificado","nombre_completo"
"Cavassa","Luis Cavassa"
"Campos","Luis María Campos"
"Pasteur","Luis Pasteur"
"Luján","Luján"
"Petkovic","Madre María de Jesús crucificado Petkovic"
"Madrid","Madrid"
"Baldini","Maestra Baldini"
"Maldonado","Maldonado"
"Mallorca","Mallorca"
"Argentinas","Malvinas Argentinas"
"Barragán","Manuel Barragán"
"Belgrano","Manuel Belgrano"
"Bermúdez","Manuel Bermúdez"
"Sarratea","Manuel de Sarratea"
"Dorrego","Manuel Dorrego"
"Galvan","Manuel Galvan"
"Labarden","Manuel Labarden"
"Quintana","Manuel Quintana"
"Pedraza","Manuela Pedraza"
"Polo","Marco Polo"
"Alberta","Maria Alberta"
"Acosta","Mariano Acosta"
"Fragueiro","Mariano Antonio Fragueiro"
"Moreno","Mariano Moreno"
"Necochea","Mariano Necochea"
"Rojas","Marinero Rubén Rojas"
"Thompson","Mariquita Sánchez de Thompson"
"Alzaga","Martín de Alzaga"
"Fierro","Martín Fierro"
"Güemes","Martín Miguel de Güemes"
"Miguens","Martín Miguens"
"Peschel","Martín Peschel"
"Rodriguez","Martín Rodriguez"
"Echegaray","Mateo Echegaray"
"México","México"
"Angel","Miguel Angel"
"Azcuénaga","Miguel de Azcuénaga"
"Cocchiararo","Ministro Francisco Cocchiararo"
"Miramar","Miramar"
"Misiones","Misiones"
"Bentivenga","Monseñor Antonio Bentivenga"
"Roy","Monte Fitz Roy"
"Pissis","Monte Pissis"
"Tronador","Monte Tronador"
"Montevideo","Montevideo"
"Muñoz","Muñoz"
"Huapi","Nahuel Huapi"
"Neuquén","Neuquén"
"Nicaragua","Nicaragua"
"Avellaneda","Nicolás Avellaneda"
"Itati","Nuestra Señora de Itati"
"Merced","Nuestra Señora de la Merced"
"Loreto","Nuestra Señora de Loreto"
"Carmen","Nuestra Señora del Carmen"
"Olavarría","Olavarría"
"Ombú","Ombú"
"Giorello","Pablo Giorello"
"Poggio","Pablo Poggio"
"Elizalde","Padre Agustín Gabriel Bonney Elizalde"
"Pizzoni","Padre Carisio Pizzoni"
"Carranza","Padre Carranza"
"Silberman","Padre Silberman"
"Santo","Palo Santo"
"Pampa","Pampa"
"Panamá","Panamá"
"Picasso","Paracaidista Picasso"
"Roca","Paracaidista Roca"
"Paraguay","Paraguay"
"Paraná","Paraná"
"París","París"
"Alsina","Pasaje Adolfo Alsina"
"Curupy","Pasaje Curupy"
"Insúa","Pasaje Eduardo Insúa"
"Ferroviario","Pasaje Ferroviario"
"Holanda","Pasaje Holanda"
"Moreras","Pasaje Las Moreras"
"Cano","Pasaje Pablo Cano"
"Bo","Pasaje Río Bo"
"Bazzani","Pasaje Sargento Bazzani"
"Pastorino","Pascual Pastorino"
"Kirchner","Paso bajo nivel Presidente Nestror Carlos Kirchner"
"Luna","Pastor Luna"
"Patricios","Patricios"
"Castro","Payador Martín Castro"
"Cevallos","Pedro Antonio de Cevallos"
"Palacios","Pedro Bonifacio Palacios"
"Mendoza","Pedro de Mendoza"
"Zavatarro","Pedro José Luis Zavatarro"
"Luna","Pelagio Baltasar Luna"
"Aeronáutica","Peña Aeronáutica"
"Perú","Perú"
"Piedrabuena","Piedrabuena"
"Pilar","Pilar"
"Díaz","Pío Díaz"
"XII","Pío XII"
"Portugal","Portugal"
"Porvenir","Porvenir"
"Potosí","Potosí"
"Pazzelli","Presbítero Rafael S. Pazzelli"
"Illia","Presidente Arturo Umberto Illia"
"Kennedy","Presidente John Fitzgerald Kennedy"
"Junta","Primera Junta"
"Mayo","Primero de Mayo"
"Progreso","Progreso"
"Puan","Puan"
"Pellegrini","Puente Carlos Pellegrini"
"Vélez","Puente Díaz Vélez"
"Argentino","Puerto Argentino"
"Rafaela","Rafaela"
"Ramallo","Ramallo"
"Iribarren","Ramón Iribarren"
"Rauch","Rauch"
"Ortíz","Raúl Scalabrini Ortíz"
"Reconquista","Reconquista"
"Escalada","Remedios de Escalada"
"República","República"
"Siria","República Árabe Siria"
"Fernández","Reverenda Madre Isabel Fernández"
"Gutiérrez","Ricardo Gutiérrez"
"Atuel","Río Atuel"
"Bermejo","Río Bermejo"
"Capitanes","Río Capitanes"
"Cuarto","Río Cuarto"
"Plata","Río de la Plata"
"Jáchal","Río Jáchal"
"Limay","Río Limay"
"Negro","Río Negro"
"Pilcomayo","Río Pilcomayo"
"Salado","Río Salado"
"Tercero","Río Tercero"
"Lage","Roberto Lage"
"Luchter","Rodolfo Luchter"
"Peña","Rodríguez Peña"
"Roma","Roma"
"Gómez","Román Gómez"
